año,trimestre,provincia,accesos_tv_por_suscripción_(vrf)
2019,1,Jujuy,87894
2019,1,La Pampa,81351
2019,1,La Rioja,25931
2019,1,Mendoza,140501
2019,1,Misiones,137541
2019,1,Neuquén,80031
2019,1,Río Negro,90118
2019,1,Salta,174728
2019,1,San Juan,44083
2019,1,San Luis,53561
2019,1,Santa Cruz,56833
2019,1,Santa Fe,599988
2019,1,Santiago Del Estero,109220
2019,1,Tierra Del Fuego,45852
2019,1,Tucumán,118638
2018,4,Buenos Aires,2670842
2018,4,Capital Federal,750996
2018,4,Catamarca,33545
2018,4,Chaco,99927
2018,4,Chubut,90602
2018,4,Córdoba,1056763
2018,4,Corrientes,102243
2018,4,Entre Ríos,208263
2018,4,Formosa,58868
2018,4,Jujuy,98704
2018,4,La Pampa,81403
2018,4,La Rioja,24839
2018,4,Mendoza,117382
2018,4,Misiones,137821
2018,4,Neuquén,80025
2018,4,Río Negro,91252
2018,4,Salta,176841
2018,4,San Juan,43605
2018,4,San Luis,55183
2018,4,Santa Cruz,56941
2018,4,Santa Fe,599124
2018,4,Santiago Del Estero,105239
2018,4,Tierra Del Fuego,46184
2018,4,Tucumán,125380
2018,3,Buenos Aires,2698193
2018,3,Capital Federal,755552
2018,3,Catamarca,83185
2018,3,Chaco,99165
2018,3,Chubut,89855
2018,3,Córdoba,1077148
2018,3,Corrientes,101211
2018,3,Entre Ríos,206993
2018,3,Formosa,59888
2018,3,Jujuy,91767
2018,3,La Pampa,83258
2018,3,La Rioja,24018
2018,3,Mendoza,117513
2018,3,Misiones,135350
2018,3,Neuquén,80391
2018,3,Río Negro,95213
2018,3,Salta,176000
2018,3,San Juan,45075
2018,3,San Luis,55302
2018,3,Santa Cruz,56779
2018,3,Santa Fe,630700
2018,3,Santiago Del Estero,108875
2018,3,Tierra Del Fuego,46296
2018,3,Tucumán,125823
2018,2,Buenos Aires,2662857
2018,2,Capital Federal,742742
2018,2,Catamarca,78493
2018,2,Chaco,108493
2018,2,Chubut,74729
2018,2,Córdoba,1114481
2018,2,Corrientes,100369
2018,2,Entre Ríos,211237
2018,2,Formosa,52060
2018,2,Jujuy,89913
2018,2,La Pampa,82552
2018,2,La Rioja,22865
2018,2,Mendoza,89146
2018,2,Misiones,134960
2018,2,Neuquén,78776
2018,2,Río Negro,87667
2018,2,Salta,169029
2018,2,San Juan,47920
2018,2,San Luis,57243
2018,2,Santa Cruz,53338
2018,2,Santa Fe,615398
2018,2,Santiago Del Estero,96384
2018,2,Tierra Del Fuego,41093
2018,2,Tucumán,119017
2018,1,Buenos Aires,2654174
2018,1,Capital Federal,741516
2018,1,Catamarca,89005
2018,1,Chaco,109742
2018,1,Chubut,72825
2018,1,Córdoba,1104478
2018,1,Corrientes,105865
2018,1,Entre Ríos,210310
2018,1,Formosa,52510
2018,1,Jujuy,88658
2018,1,La Pampa,83823
2018,1,La Rioja,23758
2018,1,Mendoza,88337
2018,1,Misiones,134351
2018,1,Neuquén,77047
2018,1,Río Negro,90018
2018,1,Salta,175454
2018,1,San Juan,37444
2018,1,San Luis,61967
2018,1,Santa Cruz,53152
2018,1,Santa Fe,623481
2018,1,Santiago Del Estero,96378
2018,1,Tierra Del Fuego,40301
2018,1,Tucumán,117582
2017,4,Buenos Aires,2656799
2017,4,Capital Federal,740372
2017,4,Catamarca,29391
2017,4,Chaco,101423
2017,4,Chubut,71048
2017,4,Córdoba,1040718
2017,4,Corrientes,105842
2017,4,Entre Ríos,209564
2017,4,Formosa,49087
2017,4,Jujuy,87008
2017,4,La Pampa,84075
2017,4,La Rioja,23707
2017,4,Mendoza,113934
2017,4,Misiones,133485
2017,4,Neuquén,77174
2017,4,Río Negro,90862
2017,4,Salta,176445
2017,4,San Juan,39494
2017,4,San Luis,62682
2017,4,Santa Cruz,50206
2017,4,Santa Fe,628931
2017,4,Santiago del Estero,96330
2017,4,Tierra del Fuego,40083
2017,4,Tucumán,117365
2017,3,Buenos Aires,2571840
2017,3,Capital Federal,707800
2017,3,Catamarca,40773
2017,3,Chaco,90293
2017,3,Chubut,70166
2017,3,Córdoba,1024289
2017,3,Corrientes,93730
2017,3,Entre Ríos,165363
2017,3,Formosa,49376
2017,3,Jujuy,84664
2017,3,La Pampa,99694
2017,3,La Rioja,23965
2017,3,Mendoza,113715
2017,3,Misiones,125110
2017,3,Neuquén,109995
2017,3,Río Negro,57889
2017,3,Salta,254908
2017,3,San Juan,39530
2017,3,San Luis,62617
2017,3,Santa Cruz,47927
2017,3,Santa Fe,615939
2017,3,Santiago del Estero,97936
2017,3,Tierra del Fuego,39928
2017,3,Tucumán,179573
2017,2,Buenos Aires,2580455
2017,2,Capital Federal,708949
2017,2,Catamarca,40448
2017,2,Chaco,91455
2017,2,Chubut,72663
2017,2,Córdoba,1019606
2017,2,Corrientes,93029
2017,2,Entre Ríos,162496
2017,2,Formosa,47888
2017,2,Jujuy,84568
2017,2,La Pampa,99285
2017,2,La Rioja,24114
2017,2,Mendoza,113243
2017,2,Misiones,123028
2017,2,Neuquén,110681
2017,2,Río Negro,58240
2017,2,Salta,256395
2017,2,San Juan,40621
2017,2,San Luis,54893
2017,2,Santa Cruz,50140
2017,2,Santa Fe,618927
2017,2,Santiago del Estero,97231
2017,2,Tierra del Fuego,38896
2017,2,Tucumán,179233
2017,1,Buenos Aires,2572848
2017,1,Capital Federal,708805
2017,1,Catamarca,29655
2017,1,Chaco,87920
2017,1,Chubut,72838
2017,1,Córdoba,1022544
2017,1,Corrientes,93332
2017,1,Entre Ríos,160444
2017,1,Formosa,48699
2017,1,Jujuy,84116
2017,1,La Pampa,101390
2017,1,La Rioja,24415
2017,1,Mendoza,116672
2017,1,Misiones,123346
2017,1,Neuquén,110781
2017,1,Río Negro,52481
2017,1,Salta,171113
2017,1,San Juan,40819
2017,1,San Luis,57104
2017,1,Santa Cruz,50321
2017,1,Santa Fe,612749
2017,1,Santiago del Estero,97561
2017,1,Tierra del Fuego,38724
2017,1,Tucumán,124655
2016,4,Buenos Aires,2535921
2016,4,Capital Federal,712478
2016,4,Catamarca,30124
2016,4,Chaco,88363
2016,4,Chubut,72721
2016,4,Córdoba,1009280
2016,4,Corrientes,93490
2016,4,Entre Ríos,155923
2016,4,Formosa,46293
2016,4,Jujuy,81754
2016,4,La Pampa,100574
2016,4,La Rioja,25719
2016,4,Mendoza,116997
2016,4,Misiones,123220
2016,4,Neuquén,110825
2016,4,Río Negro,54014
2016,4,Salta,172942
2016,4,San Juan,39847
2016,4,San Luis,54337
2016,4,Santa Cruz,50923
2016,4,Santa Fe,617120
2016,4,Santiago del Estero,98021
2016,4,Tierra del Fuego,38707
2016,4,Tucumán,124208
2016,3,Buenos Aires,2521023
2016,3,Capital Federal,716755
2016,3,Catamarca,29763
2016,3,Chaco,90191
2016,3,Chubut,72693
2016,3,Córdoba,1011257
2016,3,Corrientes,92783
2016,3,Entre Ríos,155482
2016,3,Formosa,46371
2016,3,Jujuy,84547
2016,3,La Pampa,90884
2016,3,La Rioja,24599
2016,3,Mendoza,116331
2016,3,Misiones,122505
2016,3,Neuquén,110917
2016,3,Río Negro,54503
2016,3,Salta,172479
2016,3,San Juan,42357
2016,3,San Luis,54078
2016,3,Santa Cruz,51191
2016,3,Santa Fe,614627
2016,3,Santiago del Estero,99070
2016,3,Tierra del Fuego,38592
2016,3,Tucumán,125384
2016,2,Buenos Aires,2516810
2016,2,Capital Federal,717928
2016,2,Catamarca,29641
2016,2,Chaco,94320
2016,2,Chubut,72833
2016,2,Córdoba,1005624
2016,2,Corrientes,92714
2016,2,Entre Ríos,155110
2016,2,Formosa,46382
2016,2,Jujuy,85293
2016,2,La Pampa,89647
2016,2,La Rioja,24385
2016,2,Mendoza,116159
2016,2,Misiones,122257
2016,2,Neuquén,111025
2016,2,Río Negro,54753
2016,2,Salta,174345
2016,2,San Juan,42414
2016,2,San Luis,53963
2016,2,Santa Cruz,51724
2016,2,Santa Fe,615206
2016,2,Santiago del Estero,99076
2016,2,Tierra del Fuego,38086
2016,2,Tucumán,124686
2016,1,Buenos Aires,2503121
2016,1,Capital Federal,720018
2016,1,Catamarca,29207
2016,1,Chaco,91403
2016,1,Chubut,68242
2016,1,Córdoba,998906
2016,1,Corrientes,92425
2016,1,Entre Ríos,154253
2016,1,Formosa,46370
2016,1,Jujuy,84849
2016,1,La Pampa,89605
2016,1,La Rioja,24225
2016,1,Mendoza,116180
2016,1,Misiones,121064
2016,1,Neuquén,111050
2016,1,Río Negro,54900
2016,1,Salta,170519
2016,1,San Juan,42207
2016,1,San Luis,54984
2016,1,Santa Cruz,54419
2016,1,Santa Fe,610811
2016,1,Santiago del Estero,98890
2016,1,Tierra del Fuego,38875
2016,1,Tucumán,129189
2015,4,Buenos Aires,2504956
2015,4,Capital Federal,716866
2015,4,Catamarca,29356
2015,4,Chaco,90819
2015,4,Chubut,68847
2015,4,Córdoba,994334
2015,4,Corrientes,94401
2015,4,Entre Ríos,154461
2015,4,Formosa,46385
2015,4,Jujuy,86586
2015,4,La Pampa,87160
2015,4,La Rioja,25151
2015,4,Mendoza,116883
2015,4,Misiones,119199
2015,4,Neuquén,111106
2015,4,Río Negro,56550
2015,4,Salta,172954
2015,4,San Juan,44239
2015,4,San Luis,54524
2015,4,Santa Cruz,55004
2015,4,Santa Fe,613513
2015,4,Santiago del Estero,99921
2015,4,Tierra del Fuego,37687
2015,4,Tucumán,125200
2015,3,Buenos Aires,2505777
2015,3,Capital Federal,715814
2015,3,Catamarca,29089
2015,3,Chaco,92709
2015,3,Chubut,68820
2015,3,Córdoba,986247
2015,3,Corrientes,92364
2015,3,Entre Ríos,153615
2015,3,Formosa,46414
2015,3,Jujuy,85777
2015,3,La Pampa,86107
2015,3,La Rioja,25779
2015,3,Mendoza,117481
2015,3,Misiones,118527
2015,3,Neuquén,111307
2015,3,Río Negro,57112
2015,3,Salta,170310
2015,3,San Juan,43576
2015,3,San Luis,54728
2015,3,Santa Cruz,54965
2015,3,Santa Fe,613455
2015,3,Santiago del Estero,99599
2015,3,Tierra del Fuego,37053
2015,3,Tucumán,122680
2015,2,Buenos Aires,2522599
2015,2,Capital Federal,693278
2015,2,Catamarca,28518
2015,2,Chaco,91438
2015,2,Chubut,68762
2015,2,Córdoba,979028
2015,2,Corrientes,91645
2015,2,Entre Ríos,153882
2015,2,Formosa,46356
2015,2,Jujuy,83523
2015,2,La Pampa,82878
2015,2,La Rioja,25403
2015,2,Mendoza,116704
2015,2,Misiones,116298
2015,2,Neuquén,111237
2015,2,Río Negro,58204
2015,2,Salta,169164
2015,2,San Juan,43565
2015,2,San Luis,55558
2015,2,Santa Cruz,54155
2015,2,Santa Fe,611604
2015,2,Santiago del Estero,98712
2015,2,Tierra del Fuego,36057
2015,2,Tucumán,121485
2015,1,Buenos Aires,2502399
2015,1,Capital Federal,690175
2015,1,Catamarca,28098
2015,1,Chaco,91617
2015,1,Chubut,68561
2015,1,Córdoba,974705
2015,1,Corrientes,90410
2015,1,Entre Ríos,151985
2015,1,Formosa,46316
2015,1,Jujuy,80056
2015,1,La Pampa,81292
2015,1,La Rioja,25553
2015,1,Mendoza,115783
2015,1,Misiones,114278
2015,1,Neuquén,111183
2015,1,Río Negro,57497
2015,1,Salta,168225
2015,1,San Juan,43939
2015,1,San Luis,55603
2015,1,Santa Cruz,54518
2015,1,Santa Fe,604333
2015,1,Santiago del Estero,98247
2015,1,Tierra del Fuego,35399
2015,1,Tucumán,119332
2014,4,Buenos Aires,2492829
2014,4,Capital Federal,690404
2014,4,Catamarca,28249
2014,4,Chaco,91003
2014,4,Chubut,68381
2014,4,Córdoba,976250
2014,4,Corrientes,91210
2014,4,Entre Ríos,151868
2014,4,Formosa,46590
2014,4,Jujuy,79331
2014,4,La Pampa,79733
2014,4,La Rioja,26337
2014,4,Mendoza,116149
2014,4,Misiones,112595
2014,4,Neuquén,154765
2014,4,Río Negro,58053
2014,4,Salta,166843
2014,4,San Juan,42970
2014,4,San Luis,55289
2014,4,Santa Cruz,44012
2014,4,Santa Fe,652071
2014,4,Santiago del Estero,98334
2014,4,Tierra del Fuego,34741
2014,4,Tucumán,120037
2014,3,Buenos Aires,2479337
2014,3,Capital Federal,689381
2014,3,Catamarca,27544
2014,3,Chaco,85608
2014,3,Chubut,68472
2014,3,Córdoba,975850
2014,3,Corrientes,89802
2014,3,Entre Ríos,150597
2014,3,Formosa,46428
2014,3,Jujuy,73976
2014,3,La Pampa,77927
2014,3,La Rioja,24594
2014,3,Mendoza,116918
2014,3,Misiones,115847
2014,3,Neuquén,154805
2014,3,Río Negro,58165
2014,3,Salta,166681
2014,3,San Juan,42753
2014,3,San Luis,54824
2014,3,Santa Cruz,43728
2014,3,Santa Fe,654067
2014,3,Santiago del Estero,97796
2014,3,Tierra del Fuego,35025
2014,3,Tucumán,119720
2014,2,Buenos Aires,2477696
2014,2,Capital Federal,692311
2014,2,Catamarca,27382
2014,2,Chaco,85726
2014,2,Chubut,68578
2014,2,Córdoba,974174
2014,2,Corrientes,88423
2014,2,Entre Ríos,148123
2014,2,Formosa,46553
2014,2,Jujuy,71984
2014,2,La Pampa,76732
2014,2,La Rioja,25071
2014,2,Mendoza,116281
2014,2,Misiones,114366
2014,2,Neuquén,154762
2014,2,Río Negro,58097
2014,2,Salta,166019
2014,2,San Juan,42146
2014,2,San Luis,55697
2014,2,Santa Cruz,46547
2014,2,Santa Fe,650114
2014,2,Santiago del Estero,96849
2014,2,Tierra del Fuego,34726
2014,2,Tucumán,120165
2014,1,Buenos Aires,2363240
2014,1,Capital Federal,691440
2014,1,Catamarca,18239
2014,1,Chaco,88112
2014,1,Chubut,68671
2014,1,Córdoba,511023
2014,1,Corrientes,61056
2014,1,Entre Ríos,109137
2014,1,Formosa,30013
2014,1,Jujuy,64535
2014,1,La Pampa,67773
2014,1,La Rioja,25108
2014,1,Mendoza,106933
2014,1,Misiones,99220
2014,1,Neuquén,105837
2014,1,Río Negro,40129
2014,1,Salta,123120
2014,1,San Juan,42011
2014,1,San Luis,16869
2014,1,Santa Cruz,21133
2014,1,Santa Fe,546523
2014,1,Santiago del Estero,92972
2014,1,Tierra del Fuego,29886
2014,1,Tucumán,111552
